python3: can't open file '/kaggle/working/scripts/train_tmg_gan.py': [Errno 2] No such file or directory
TMG GAN Epoch 1/300 | CD_loss 1.9345 | G_loss 1.9672
TMG GAN Epoch 75/300 | CD_loss 1.4016 | G_loss 2.4989
TMG GAN Epoch 76/300 | CD_loss 1.4047 | G_loss 2.4717
TMG GAN Epoch 77/300 | CD_loss 1.4065 | G_loss 2.4598
TMG GAN Epoch 78/300 | CD_loss 1.4091 | G_loss 2.4532
TMG GAN Epoch 79/300 | CD_loss 1.4134 | G_loss 2.4375
TMG GAN Epoch 80/300 | CD_loss 1.4131 | G_loss 2.4346
TMG GAN Epoch 81/300 | CD_loss 1.4157 | G_loss 2.4187
TMG GAN Epoch 82/300 | CD_loss 1.4188 | G_loss 2.4072
TMG GAN Epoch 83/300 | CD_loss 1.4205 | G_loss 2.4067
TMG GAN Epoch 84/300 | CD_loss 1.4217 | G_loss 2.3873
TMG GAN Epoch 85/300 | CD_loss 1.4256 | G_loss 2.3888
TMG GAN Epoch 86/300 | CD_loss 1.4245 | G_loss 2.3649
TMG GAN Epoch 87/300 | CD_loss 1.4284 | G_loss 2.3614
TMG GAN Epoch 88/300 | CD_loss 1.4288 | G_loss 2.3496
TMG GAN Epoch 89/300 | CD_loss 1.4301 | G_loss 2.3440
TMG GAN Epoch 90/300 | CD_loss 1.4314 | G_loss 2.3348
TMG GAN Epoch 91/300 | CD_loss 1.4294 | G_loss 2.3319
TMG GAN Epoch 92/300 | CD_loss 1.4322 | G_loss 2.3162
TMG GAN Epoch 93/300 | CD_loss 1.4342 | G_loss 2.3127
TMG GAN Epoch 94/300 | CD_loss 1.4349 | G_loss 2.2985
TMG GAN Epoch 95/300 | CD_loss 1.4372 | G_loss 2.2994
TMG GAN Epoch 96/300 | CD_loss 1.4360 | G_loss 2.2927
TMG GAN Epoch 97/300 | CD_loss 1.4366 | G_loss 2.2844
TMG GAN Epoch 98/300 | CD_loss 1.4381 | G_loss 2.2708
TMG GAN Epoch 99/300 | CD_loss 1.4403 | G_loss 2.2605
  GAN Eval @ epoch 100: Loss 1.9023 | F1 0.1818
TMG GAN Epoch 100/300 | CD_loss 1.4395 | G_loss 2.2567
TMG GAN Epoch 101/300 | CD_loss 1.4422 | G_loss 1.6748
TMG GAN Epoch 102/300 | CD_loss 1.4366 | G_loss 1.6723
TMG GAN Epoch 103/300 | CD_loss 1.4434 | G_loss 1.6622
TMG GAN Epoch 104/300 | CD_loss 1.4428 | G_loss 1.6506
TMG GAN Epoch 105/300 | CD_loss 1.4439 | G_loss 1.6265
TMG GAN Epoch 106/300 | CD_loss 1.4477 | G_loss 1.6096
TMG GAN Epoch 107/300 | CD_loss 1.4464 | G_loss 1.6060
TMG GAN Epoch 108/300 | CD_loss 1.4503 | G_loss 1.5928
TMG GAN Epoch 109/300 | CD_loss 1.4503 | G_loss 1.5790
TMG GAN Epoch 110/300 | CD_loss 1.4533 | G_loss 1.5770
TMG GAN Epoch 111/300 | CD_loss 1.4539 | G_loss 1.5459
TMG GAN Epoch 112/300 | CD_loss 1.4536 | G_loss 1.5481
TMG GAN Epoch 113/300 | CD_loss 1.4574 | G_loss 1.5453
TMG GAN Epoch 114/300 | CD_loss 1.4564 | G_loss 1.5121
TMG GAN Epoch 115/300 | CD_loss 1.4606 | G_loss 1.5133
TMG GAN Epoch 116/300 | CD_loss 1.4605 | G_loss 1.4946
TMG GAN Epoch 117/300 | CD_loss 1.4605 | G_loss 1.4858
TMG GAN Epoch 118/300 | CD_loss 1.4638 | G_loss 1.4766
TMG GAN Epoch 119/300 | CD_loss 1.4693 | G_loss 1.4695
TMG GAN Epoch 120/300 | CD_loss 1.4656 | G_loss 1.4523
TMG GAN Epoch 121/300 | CD_loss 1.4672 | G_loss 1.4387
TMG GAN Epoch 122/300 | CD_loss 1.4658 | G_loss 1.4275
TMG GAN Epoch 123/300 | CD_loss 1.4699 | G_loss 1.4272
TMG GAN Epoch 124/300 | CD_loss 1.4716 | G_loss 1.4104
TMG GAN Epoch 125/300 | CD_loss 1.4708 | G_loss 1.3837
TMG GAN Epoch 126/300 | CD_loss 1.4743 | G_loss 1.3868
TMG GAN Epoch 127/300 | CD_loss 1.4783 | G_loss 1.3772
TMG GAN Epoch 128/300 | CD_loss 1.4777 | G_loss 1.3613
TMG GAN Epoch 129/300 | CD_loss 1.4783 | G_loss 1.3574
TMG GAN Epoch 130/300 | CD_loss 1.4806 | G_loss 1.3636
TMG GAN Epoch 131/300 | CD_loss 1.4819 | G_loss 1.3408
TMG GAN Epoch 132/300 | CD_loss 1.4832 | G_loss 1.3334
TMG GAN Epoch 133/300 | CD_loss 1.4853 | G_loss 1.3213
TMG GAN Epoch 134/300 | CD_loss 1.4848 | G_loss 1.3116
TMG GAN Epoch 135/300 | CD_loss 1.4846 | G_loss 1.3021
TMG GAN Epoch 136/300 | CD_loss 1.4872 | G_loss 1.2743
TMG GAN Epoch 137/300 | CD_loss 1.4887 | G_loss 1.2778
TMG GAN Epoch 138/300 | CD_loss 1.4922 | G_loss 1.2693
TMG GAN Epoch 139/300 | CD_loss 1.4937 | G_loss 1.2457
TMG GAN Epoch 140/300 | CD_loss 1.4953 | G_loss 1.2375
TMG GAN Epoch 141/300 | CD_loss 1.4988 | G_loss 1.2356
TMG GAN Epoch 142/300 | CD_loss 1.5007 | G_loss 1.2119
TMG GAN Epoch 143/300 | CD_loss 1.5048 | G_loss 1.2087
TMG GAN Epoch 144/300 | CD_loss 1.5071 | G_loss 1.1718
TMG GAN Epoch 145/300 | CD_loss 1.5042 | G_loss 1.1684
TMG GAN Epoch 146/300 | CD_loss 1.5125 | G_loss 1.1559
TMG GAN Epoch 147/300 | CD_loss 1.5114 | G_loss 1.1473
TMG GAN Epoch 148/300 | CD_loss 1.5156 | G_loss 1.1311
TMG GAN Epoch 149/300 | CD_loss 1.5201 | G_loss 1.0854
TMG GAN Epoch 150/300 | CD_loss 1.5205 | G_loss 1.0799
TMG GAN Epoch 151/300 | CD_loss 1.5279 | G_loss 1.0737
TMG GAN Epoch 152/300 | CD_loss 1.5309 | G_loss 1.0541
TMG GAN Epoch 153/300 | CD_loss 1.5374 | G_loss 1.0212
TMG GAN Epoch 154/300 | CD_loss 1.5385 | G_loss 1.0070
TMG GAN Epoch 155/300 | CD_loss 1.5449 | G_loss 0.9805
TMG GAN Epoch 156/300 | CD_loss 1.5514 | G_loss 0.9445
TMG GAN Epoch 157/300 | CD_loss 1.5569 | G_loss 0.9176
TMG GAN Epoch 158/300 | CD_loss 1.5595 | G_loss 0.9026
TMG GAN Epoch 159/300 | CD_loss 1.5651 | G_loss 0.8705
TMG GAN Epoch 160/300 | CD_loss 1.5732 | G_loss 0.8551
TMG GAN Epoch 161/300 | CD_loss 1.5762 | G_loss 0.8190
TMG GAN Epoch 162/300 | CD_loss 1.5843 | G_loss 0.8428
TMG GAN Epoch 163/300 | CD_loss 1.5898 | G_loss 0.8154
TMG GAN Epoch 164/300 | CD_loss 1.5953 | G_loss 0.7710
TMG GAN Epoch 165/300 | CD_loss 1.5983 | G_loss 0.7702
TMG GAN Epoch 166/300 | CD_loss 1.6043 | G_loss 0.7653
TMG GAN Epoch 167/300 | CD_loss 1.6083 | G_loss 0.7276
TMG GAN Epoch 168/300 | CD_loss 1.6141 | G_loss 0.7135
TMG GAN Epoch 169/300 | CD_loss 1.6165 | G_loss 0.6750
TMG GAN Epoch 170/300 | CD_loss 1.6224 | G_loss 0.6609
TMG GAN Epoch 171/300 | CD_loss 1.6252 | G_loss 0.6496
TMG GAN Epoch 172/300 | CD_loss 1.6332 | G_loss 0.6397
TMG GAN Epoch 173/300 | CD_loss 1.6365 | G_loss 0.6364
TMG GAN Epoch 174/300 | CD_loss 1.6428 | G_loss 0.6024
TMG GAN Epoch 175/300 | CD_loss 1.6478 | G_loss 0.5806
TMG GAN Epoch 176/300 | CD_loss 1.6494 | G_loss 0.5452
TMG GAN Epoch 177/300 | CD_loss 1.6564 | G_loss 0.5344
TMG GAN Epoch 178/300 | CD_loss 1.6637 | G_loss 0.5465
TMG GAN Epoch 179/300 | CD_loss 1.6662 | G_loss 0.5146
TMG GAN Epoch 180/300 | CD_loss 1.6728 | G_loss 0.5160
TMG GAN Epoch 181/300 | CD_loss 1.6745 | G_loss 0.4688
TMG GAN Epoch 182/300 | CD_loss 1.6845 | G_loss 0.4946
TMG GAN Epoch 183/300 | CD_loss 1.6852 | G_loss 0.4584
TMG GAN Epoch 184/300 | CD_loss 1.6921 | G_loss 0.4391
TMG GAN Epoch 185/300 | CD_loss 1.6921 | G_loss 0.4269
TMG GAN Epoch 186/300 | CD_loss 1.6981 | G_loss 0.4185
TMG GAN Epoch 187/300 | CD_loss 1.7007 | G_loss 0.3989
TMG GAN Epoch 188/300 | CD_loss 1.7001 | G_loss 0.3998
TMG GAN Epoch 189/300 | CD_loss 1.7065 | G_loss 0.4045
TMG GAN Epoch 190/300 | CD_loss 1.7095 | G_loss 0.4028
TMG GAN Epoch 191/300 | CD_loss 1.7099 | G_loss 0.3895
TMG GAN Epoch 192/300 | CD_loss 1.7141 | G_loss 0.3987
TMG GAN Epoch 193/300 | CD_loss 1.7190 | G_loss 0.3661
TMG GAN Epoch 194/300 | CD_loss 1.7202 | G_loss 0.3676
TMG GAN Epoch 195/300 | CD_loss 1.7217 | G_loss 0.3686
TMG GAN Epoch 196/300 | CD_loss 1.7285 | G_loss 0.3397
TMG GAN Epoch 197/300 | CD_loss 1.7300 | G_loss 0.3568
TMG GAN Epoch 198/300 | CD_loss 1.7310 | G_loss 0.3335
TMG GAN Epoch 199/300 | CD_loss 1.7364 | G_loss 0.3207
  GAN Eval @ epoch 200: Loss 1.8564 | F1 0.2623
TMG GAN Epoch 200/300 | CD_loss 1.7362 | G_loss 0.3423
TMG GAN Epoch 201/300 | CD_loss 1.7376 | G_loss 0.3245
TMG GAN Epoch 202/300 | CD_loss 1.7409 | G_loss 0.3236
TMG GAN Epoch 203/300 | CD_loss 1.7449 | G_loss 0.2946
TMG GAN Epoch 204/300 | CD_loss 1.7450 | G_loss 0.2965
TMG GAN Epoch 205/300 | CD_loss 1.7424 | G_loss 0.2965
TMG GAN Epoch 206/300 | CD_loss 1.7462 | G_loss 0.2959
TMG GAN Epoch 207/300 | CD_loss 1.7485 | G_loss 0.2923
TMG GAN Epoch 208/300 | CD_loss 1.7513 | G_loss 0.2786
TMG GAN Epoch 209/300 | CD_loss 1.7546 | G_loss 0.2981
TMG GAN Epoch 210/300 | CD_loss 1.7546 | G_loss 0.2947
TMG GAN Epoch 211/300 | CD_loss 1.7546 | G_loss 0.2795
TMG GAN Epoch 212/300 | CD_loss 1.7582 | G_loss 0.2714
TMG GAN Epoch 213/300 | CD_loss 1.7612 | G_loss 0.2822
TMG GAN Epoch 214/300 | CD_loss 1.7599 | G_loss 0.2491
TMG GAN Epoch 215/300 | CD_loss 1.7626 | G_loss 0.2485
TMG GAN Epoch 216/300 | CD_loss 1.7627 | G_loss 0.2316
TMG GAN Epoch 217/300 | CD_loss 1.7652 | G_loss 0.2466
TMG GAN Epoch 218/300 | CD_loss 1.7663 | G_loss 0.2318
TMG GAN Epoch 219/300 | CD_loss 1.7658 | G_loss 0.2327
TMG GAN Epoch 220/300 | CD_loss 1.7704 | G_loss 0.2346
TMG GAN Epoch 221/300 | CD_loss 1.7704 | G_loss 0.2094
TMG GAN Epoch 222/300 | CD_loss 1.7725 | G_loss 0.2408
TMG GAN Epoch 223/300 | CD_loss 1.7704 | G_loss 0.2221
TMG GAN Epoch 224/300 | CD_loss 1.7717 | G_loss 0.2193
TMG GAN Epoch 225/300 | CD_loss 1.7724 | G_loss 0.2023
TMG GAN Epoch 226/300 | CD_loss 1.7725 | G_loss 0.2029
TMG GAN Epoch 227/300 | CD_loss 1.7766 | G_loss 0.2056
TMG GAN Epoch 228/300 | CD_loss 1.7785 | G_loss 0.1872
TMG GAN Epoch 229/300 | CD_loss 1.7788 | G_loss 0.1930
TMG GAN Epoch 230/300 | CD_loss 1.7796 | G_loss 0.2011
TMG GAN Epoch 231/300 | CD_loss 1.7792 | G_loss 0.1831
TMG GAN Epoch 232/300 | CD_loss 1.7789 | G_loss 0.1903
TMG GAN Epoch 233/300 | CD_loss 1.7800 | G_loss 0.1939
TMG GAN Epoch 234/300 | CD_loss 1.7816 | G_loss 0.1915
TMG GAN Epoch 235/300 | CD_loss 1.7826 | G_loss 0.1725
TMG GAN Epoch 236/300 | CD_loss 1.7840 | G_loss 0.1726
TMG GAN Epoch 237/300 | CD_loss 1.7851 | G_loss 0.1897
TMG GAN Epoch 238/300 | CD_loss 1.7846 | G_loss 0.1682
TMG GAN Epoch 239/300 | CD_loss 1.7853 | G_loss 0.1738
TMG GAN Epoch 240/300 | CD_loss 1.7864 | G_loss 0.1526
TMG GAN Epoch 241/300 | CD_loss 1.7875 | G_loss 0.1619
TMG GAN Epoch 242/300 | CD_loss 1.7879 | G_loss 0.1616
TMG GAN Epoch 243/300 | CD_loss 1.7862 | G_loss 0.1551
TMG GAN Epoch 244/300 | CD_loss 1.7898 | G_loss 0.1419
TMG GAN Epoch 245/300 | CD_loss 1.7886 | G_loss 0.1598
TMG GAN Epoch 246/300 | CD_loss 1.7899 | G_loss 0.1411
TMG GAN Epoch 247/300 | CD_loss 1.7902 | G_loss 0.1483
TMG GAN Epoch 248/300 | CD_loss 1.7899 | G_loss 0.1417
TMG GAN Epoch 249/300 | CD_loss 1.7907 | G_loss 0.1422
TMG GAN Epoch 250/300 | CD_loss 1.7934 | G_loss 0.1291
TMG GAN Epoch 251/300 | CD_loss 1.7932 | G_loss 0.1400
TMG GAN Epoch 252/300 | CD_loss 1.7925 | G_loss 0.1391
TMG GAN Epoch 253/300 | CD_loss 1.7924 | G_loss 0.1419
TMG GAN Epoch 254/300 | CD_loss 1.7942 | G_loss 0.1323
TMG GAN Epoch 255/300 | CD_loss 1.7928 | G_loss 0.1127
TMG GAN Epoch 256/300 | CD_loss 1.7927 | G_loss 0.1287
TMG GAN Epoch 257/300 | CD_loss 1.7971 | G_loss 0.1096
TMG GAN Epoch 258/300 | CD_loss 1.7948 | G_loss 0.1179
TMG GAN Epoch 259/300 | CD_loss 1.7954 | G_loss 0.1271
TMG GAN Epoch 260/300 | CD_loss 1.7956 | G_loss 0.1255
TMG GAN Epoch 261/300 | CD_loss 1.7968 | G_loss 0.1040
TMG GAN Epoch 262/300 | CD_loss 1.7953 | G_loss 0.1193
TMG GAN Epoch 263/300 | CD_loss 1.7947 | G_loss 0.1361
TMG GAN Epoch 264/300 | CD_loss 1.7927 | G_loss 0.1126
TMG GAN Epoch 265/300 | CD_loss 1.7980 | G_loss 0.0923
TMG GAN Epoch 266/300 | CD_loss 1.7998 | G_loss 0.1213
TMG GAN Epoch 267/300 | CD_loss 1.7989 | G_loss 0.1063
TMG GAN Epoch 268/300 | CD_loss 1.7962 | G_loss 0.1000
TMG GAN Epoch 269/300 | CD_loss 1.7966 | G_loss 0.1085
TMG GAN Epoch 270/300 | CD_loss 1.8031 | G_loss 0.0879
TMG GAN Epoch 271/300 | CD_loss 1.7995 | G_loss 0.0976
TMG GAN Epoch 272/300 | CD_loss 1.7981 | G_loss 0.1028
TMG GAN Epoch 273/300 | CD_loss 1.8026 | G_loss 0.1123
TMG GAN Epoch 274/300 | CD_loss 1.7967 | G_loss 0.1032
TMG GAN Epoch 275/300 | CD_loss 1.7967 | G_loss 0.0897
TMG GAN Epoch 276/300 | CD_loss 1.7984 | G_loss 0.0964
TMG GAN Epoch 277/300 | CD_loss 1.8000 | G_loss 0.0787
TMG GAN Epoch 278/300 | CD_loss 1.7998 | G_loss 0.0870
TMG GAN Epoch 279/300 | CD_loss 1.8026 | G_loss 0.0738
TMG GAN Epoch 280/300 | CD_loss 1.8005 | G_loss 0.0704
TMG GAN Epoch 281/300 | CD_loss 1.7996 | G_loss 0.0949
TMG GAN Epoch 282/300 | CD_loss 1.7994 | G_loss 0.0839
TMG GAN Epoch 283/300 | CD_loss 1.7962 | G_loss 0.0877
TMG GAN Epoch 284/300 | CD_loss 1.7996 | G_loss 0.0815
TMG GAN Epoch 285/300 | CD_loss 1.7977 | G_loss 0.0800
TMG GAN Epoch 286/300 | CD_loss 1.8005 | G_loss 0.0707
TMG GAN Epoch 287/300 | CD_loss 1.7997 | G_loss 0.0866
TMG GAN Epoch 288/300 | CD_loss 1.8016 | G_loss 0.0652
TMG GAN Epoch 289/300 | CD_loss 1.7993 | G_loss 0.0838
TMG GAN Epoch 290/300 | CD_loss 1.8002 | G_loss 0.0819
TMG GAN Epoch 291/300 | CD_loss 1.8003 | G_loss 0.0710
TMG GAN Epoch 292/300 | CD_loss 1.7992 | G_loss 0.0623
TMG GAN Epoch 293/300 | CD_loss 1.8026 | G_loss 0.0702
TMG GAN Epoch 294/300 | CD_loss 1.7995 | G_loss 0.0610
TMG GAN Epoch 295/300 | CD_loss 1.8012 | G_loss 0.0624
TMG GAN Epoch 296/300 | CD_loss 1.7985 | G_loss 0.0601
TMG GAN Epoch 297/300 | CD_loss 1.8015 | G_loss 0.0590
TMG GAN Epoch 298/300 | CD_loss 1.8001 | G_loss 0.0606
TMG GAN Epoch 299/300 | CD_loss 1.7971 | G_loss 0.0557
  GAN Eval @ epoch 300: Loss 1.8175 | F1 0.2569
TMG GAN Epoch 300/300 | CD_loss 1.7999 | G_loss 0.0811
TMG CLF Epoch 1/200 | train step complete (evaluation skipped)
TMG CLF Epoch 2/200 | train step complete (evaluation skipped)
TMG CLF Epoch 3/200 | train step complete (evaluation skipped)
TMG CLF Epoch 4/200 | train step complete (evaluation skipped)
TMG CLF Epoch 5/200 | Loss 0.7545 | P 0.3054 | R 0.2456 | F1 0.2666
TMG CLF Epoch 6/200 | train step complete (evaluation skipped)
TMG CLF Epoch 7/200 | train step complete (evaluation skipped)
TMG CLF Epoch 8/200 | train step complete (evaluation skipped)
TMG CLF Epoch 9/200 | train step complete (evaluation skipped)
TMG CLF Epoch 10/200 | Loss 0.7612 | P 0.3117 | R 0.2498 | F1 0.2737
TMG CLF Epoch 11/200 | train step complete (evaluation skipped)
TMG CLF Epoch 12/200 | train step complete (evaluation skipped)
TMG CLF Epoch 13/200 | train step complete (evaluation skipped)
TMG CLF Epoch 14/200 | train step complete (evaluation skipped)
TMG CLF Epoch 15/200 | Loss 0.7537 | P 0.3016 | R 0.2394 | F1 0.2619
TMG CLF Epoch 16/200 | train step complete (evaluation skipped)
TMG CLF Epoch 17/200 | train step complete (evaluation skipped)
TMG CLF Epoch 18/200 | train step complete (evaluation skipped)
TMG CLF Epoch 19/200 | train step complete (evaluation skipped)
TMG CLF Epoch 20/200 | Loss 0.7438 | P 0.2962 | R 0.2341 | F1 0.2561
TMG CLF Epoch 21/200 | train step complete (evaluation skipped)
TMG CLF Epoch 22/200 | train step complete (evaluation skipped)
TMG CLF Epoch 23/200 | train step complete (evaluation skipped)
TMG CLF Epoch 24/200 | train step complete (evaluation skipped)
TMG CLF Epoch 25/200 | Loss 0.7417 | P 0.3033 | R 0.2388 | F1 0.2627
TMG CLF Epoch 26/200 | train step complete (evaluation skipped)
TMG CLF Epoch 27/200 | train step complete (evaluation skipped)
TMG CLF Epoch 28/200 | train step complete (evaluation skipped)
TMG CLF Epoch 29/200 | train step complete (evaluation skipped)
TMG CLF Epoch 30/200 | Loss 0.7220 | P 0.2999 | R 0.2364 | F1 0.2595
TMG CLF Epoch 31/200 | train step complete (evaluation skipped)
TMG CLF Epoch 32/200 | train step complete (evaluation skipped)
TMG CLF Epoch 33/200 | train step complete (evaluation skipped)
TMG CLF Epoch 34/200 | train step complete (evaluation skipped)
TMG CLF Epoch 35/200 | Loss 0.7198 | P 0.3144 | R 0.2371 | F1 0.2643
TMG CLF Epoch 36/200 | train step complete (evaluation skipped)
TMG CLF Epoch 37/200 | train step complete (evaluation skipped)
TMG CLF Epoch 38/200 | train step complete (evaluation skipped)
TMG CLF Epoch 39/200 | train step complete (evaluation skipped)
TMG CLF Epoch 40/200 | Loss 0.6864 | P 0.3107 | R 0.2311 | F1 0.2576
TMG CLF Epoch 41/200 | train step complete (evaluation skipped)
TMG CLF Epoch 42/200 | train step complete (evaluation skipped)
TMG CLF Epoch 43/200 | train step complete (evaluation skipped)
TMG CLF Epoch 44/200 | train step complete (evaluation skipped)
TMG CLF Epoch 45/200 | Loss 0.6654 | P 0.3179 | R 0.2333 | F1 0.2601
TMG CLF Epoch 46/200 | train step complete (evaluation skipped)
TMG CLF Epoch 47/200 | train step complete (evaluation skipped)
TMG CLF Epoch 48/200 | train step complete (evaluation skipped)
TMG CLF Epoch 49/200 | train step complete (evaluation skipped)
TMG CLF Epoch 50/200 | Loss 0.6707 | P 0.2988 | R 0.2250 | F1 0.2488
TMG CLF Epoch 51/200 | train step complete (evaluation skipped)
TMG CLF Epoch 52/200 | train step complete (evaluation skipped)
TMG CLF Epoch 53/200 | train step complete (evaluation skipped)
TMG CLF Epoch 54/200 | train step complete (evaluation skipped)
TMG CLF Epoch 55/200 | Loss 0.6665 | P 0.3283 | R 0.2334 | F1 0.2622
TMG CLF Epoch 56/200 | train step complete (evaluation skipped)
TMG CLF Epoch 57/200 | train step complete (evaluation skipped)
TMG CLF Epoch 58/200 | train step complete (evaluation skipped)
TMG CLF Epoch 59/200 | train step complete (evaluation skipped)
TMG CLF Epoch 60/200 | Loss 0.6524 | P 0.3162 | R 0.2319 | F1 0.2589
TMG CLF Epoch 61/200 | train step complete (evaluation skipped)
TMG CLF Epoch 62/200 | train step complete (evaluation skipped)
TMG CLF Epoch 63/200 | train step complete (evaluation skipped)
TMG CLF Epoch 64/200 | train step complete (evaluation skipped)
TMG CLF Epoch 65/200 | Loss 0.6435 | P 0.3476 | R 0.2363 | F1 0.2654
TMG CLF Epoch 66/200 | train step complete (evaluation skipped)
TMG CLF Epoch 67/200 | train step complete (evaluation skipped)
TMG CLF Epoch 68/200 | train step complete (evaluation skipped)
TMG CLF Epoch 69/200 | train step complete (evaluation skipped)
